l,w,h,estrategia,cajas,tiempo_s,status
30,30,85,bloques_genericos,148,44.954,OptimalOrBestFoundPerIteration
30,30,84,bloques_genericos,148,52.469,OptimalOrBestFoundPerIteration
40,35,75,bloques_genericos,90,137.987,OptimalOrBestFoundPerIteration
40,43,84,bloques_genericos,72,313.818,OptimalOrBestFoundPerIteration
40,40,75,bloques_genericos,90,9.738,OptimalOrBestFoundPerIteration
40,45,84,bloques_genericos,0,858.667,OptimalOrBestFoundPerIteration
40,40,76,bloques_genericos,90,8.727,OptimalOrBestFoundPerIteration
40,37,75,bloques_genericos,0,1920.405,OptimalOrBestFoundPerIteration
41,37,75,bloques_genericos,0,2382.735,OptimalOrBestFoundPerIteration
41,24,113,bloques_genericos,0,885.781,OptimalOrBestFoundPerIteration
45,35,61,bloques_genericos,0,2749.26,OptimalOrBestFoundPerIteration
45,30,84,bloques_genericos,97,156.129,OptimalOrBestFoundPerIteration
45,32,84,bloques_genericos,0,899.787,OptimalOrBestFoundPerIteration
45,30,84,bloques_genericos,97,150.665,OptimalOrBestFoundPerIteration
50,45,109,bloques_genericos,40,27.955,OptimalOrBestFoundPerIteration
50,50,91,bloques_genericos,40,0.139,OptimalOrBestFoundPerIteration
55,40,80,bloques_genericos,60,7.585,OptimalOrBestFoundPerIteration
60,20,141,bloques_genericos,60,9.416,OptimalOrBestFoundPerIteration
62,39,92,bloques_genericos,50,46.061,OptimalOrBestFoundPerIteration
64,39,93,bloques_genericos,50,32.321,OptimalOrBestFoundPerIteration
69,40,95,bloques_genericos,38,13.526,OptimalOrBestFoundPerIteration
125,19,118,bloques_genericos,30,16.355,OptimalOrBestFoundPerIteration
130,55,75,bloques_genericos,20,0.118,OptimalOrBestFoundPerIteration
130,45,62,bloques_genericos,28,2.318,OptimalOrBestFoundPerIteration
135,29,47,bloques_genericos,43,62.733,OptimalOrBestFoundPerIteration
135,29,46,bloques_genericos,45,61.351,OptimalOrBestFoundPerIteration
138,30,47,bloques_genericos,42,50.221,OptimalOrBestFoundPerIteration
140,49,52,bloques_genericos,20,2.1,OptimalOrBestFoundPerIteration
160,33,46,bloques_genericos,38,24.246,OptimalOrBestFoundPerIteration
164,67,73,bloques_genericos,6,0.069,OptimalOrBestFoundPerIteration
170,85,45,bloques_genericos,14,0.11,OptimalOrBestFoundPerIteration
171,35,70,bloques_genericos,19,0.041,OptimalOrBestFoundPerIteration
185,55,55,bloques_genericos,16,0.008,OptimalOrBestFoundPerIteration
185,55,56,bloques_genericos,16,0.772,OptimalOrBestFoundPerIteration
190,175,45,bloques_genericos,4,0.034,OptimalOrBestFoundPerIteration
195,36,130,bloques_genericos,12,0.138,OptimalOrBestFoundPerIteration
